year,fyrEnd,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_FOREIGN_EXCH_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC1,IS_ABNORMAL_ITEM,IS_MERGER_ACQUISITION_EXPENSE,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_G_L_ON_EXT_DBT_OR_SETTLE_DBT,IS_IMPAIRMENT_GOODWILL_INTANGIBL,IS_SALE_OF_BUSINESS,IS_RESTRUCTURING_EXPENSES,IS_OTHER_ONE_TIME_ITEMS,PRETAX_INC,IS_INC_TAX_EXP,IS_CURRENT_INCOME_TAX_BENEFIT,IS_DEFERRED_INCOME_TAX_BENEFIT,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX1,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON1,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,XO_GL_NET_OF_TAX,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBITA,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,EQY_DPS,IS_TOT_CASH_COM_DVD,IS_EXPORT_SALES,IS_DEPR_EXP,BS_CURR_RENTAL_EXPENSE
2004,9/30/2004,300.703000000,,164.198000000,,136.505000000,,41.526000000,,,,94.979000000,,74.675000000,74.675000000,0.000000000,,,20.304000000,0.000000000,,,,0.000000000,,,,20.304000000,6.682000000,,,13.622000000,0.000000000,,,13.622000000,0.000000000,13.622000000,0.000000000,0.000000000,13.622000000,13.622000000,,0.000000000,44.193000000,0.310000000,0.310000000,0.310000000,46.300000000,0.290000000,0.290000000,0.290000000,US GAAP,113.282000000,37.672400000,105.304000000,94.979000000,45.395300000,31.585600000,4.530100000,,0.000000000,0.000000000,69.900000000,7.978000000,1.400000000
2005,9/30/2005,374.253000000,,189.983000000,,184.270000000,,46.690000000,,,,137.580000000,,80.266000000,80.266000000,0.000000000,,,57.314000000,0.000000000,,,,0.000000000,,,,57.314000000,22.627000000,,,34.687000000,0.000000000,,,34.687000000,0.000000000,34.687000000,0.000000000,0.000000000,34.687000000,34.687000000,,0.000000000,44.202000000,0.780000000,0.780000000,0.780000000,46.544000000,0.750000000,0.750000000,0.750000000,US GAAP,154.536000000,41.291900000,145.327000000,137.580000000,49.236700000,36.761200000,9.268300000,287886.916200000,0.000000000,0.000000000,81.500000000,9.209000000,1.900000000
2006,9/30/2006,435.164000000,,213.874000000,,221.290000000,,54.506000000,,,,166.784000000,,76.732000000,76.732000000,0.000000000,,,41.435000000,56.609000000,,,,0.000000000,,,,41.435000000,16.318000000,,,25.117000000,0.000000000,,,25.117000000,0.000000000,25.117000000,0.000000000,0.000000000,25.117000000,25.117000000,33.629000000,0.000000000,44.415000000,0.570000000,0.570000000,1.370000000,47.181000000,0.530000000,0.530000000,1.280000000,US GAAP,182.895000000,42.029000000,172.981000000,166.784000000,50.852100000,38.326700000,5.771800000,310831.428600000,0.000000000,0.000000000,,9.914000000,2.100000000
2007,9/30/2007,592.798000000,,283.766000000,,309.032000000,,75.194000000,,,,233.838000000,,91.767000000,91.767000000,0.000000000,,,142.071000000,11.355600000,,,,0.000000000,,,,142.071000000,53.426000000,,,88.645000000,0.000000000,,,88.645000000,0.000000000,88.645000000,0.000000000,0.000000000,88.645000000,88.645000000,,0.000000000,45.630000000,1.940000000,1.940000000,2.190000000,48.542000000,1.830000000,1.830000000,2.060000000,US GAAP,257.790000000,43.487000000,246.142000000,233.838000000,52.131100000,39.446500000,14.953700000,282284.761900000,0.000000000,0.000000000,,11.648000000,2.800000000
2008,9/30/2008,713.711000000,,327.780000000,,385.931000000,,86.652000000,,,,299.279000000,,92.677000000,92.677000000,0.000000000,,,206.602000000,8.544000000,,,,0.000000000,,,,206.602000000,73.476000000,,,133.126000000,0.000000000,,,133.126000000,0.000000000,133.126000000,0.000000000,0.000000000,133.126000000,133.126000000,,0.000000000,47.856000000,2.780000000,2.780000000,2.900000000,50.202000000,2.650000000,2.650000000,2.760000000,US GAAP,324.533000000,45.471200000,311.281000000,299.279000000,54.073800000,41.932800000,18.652600000,339862.381000000,0.000000000,0.000000000,144.300000000,13.252000000,3.200000000
2009,9/30/2009,761.552000000,761.552000000,329.942000000,329.942000000,431.610000000,0.000000000,90.520000000,67.418000000,12.600000000,10.502000000,341.090000000,84.398000000,84.398000000,,0.000000000,0.000000000,0.000000000,256.692000000,5.690000000,5.690000000,,,,,,,251.002000000,88.100000000,79.300000000,8.800000000,162.902000000,0.000000000,0.000000000,0.000000000,162.902000000,0.000000000,162.902000000,0.000000000,0.000000000,162.902000000,166.594900000,3.692900000,0.000000000,52.539000000,3.100000000,3.100000000,3.170900000,52.539000000,3.100000000,3.100000000,3.170300000,US GAAP,368.611000000,48.402600000,355.018000000,341.090000000,56.675100000,44.788800000,21.875700000,380776.000000000,0.000000000,0.000000000,150.400000000,13.593000000,3.300000000
2010,9/30/2010,827.654000000,827.654000000,349.794000000,349.794000000,477.860000000,0.000000000,103.109000000,78.301000000,13.900000000,10.908000000,374.751000000,112.234000000,112.234000000,,0.000000000,0.000000000,0.000000000,262.517000000,11.682000000,11.682000000,,,,,,,250.835000000,87.390000000,85.490000000,1.900000000,163.445000000,0.000000000,0.000000000,0.000000000,163.445000000,0.000000000,163.445000000,0.000000000,30.313000000,133.132000000,140.744000000,7.612000000,0.000000000,52.923000000,2.520000000,2.520000000,2.659400000,52.923000000,2.520000000,2.520000000,2.659400000,US GAAP,404.916000000,48.923300000,389.830000000,374.751000000,57.736700000,45.278700000,20.667700000,344855.833300000,7.650000000,404.861000000,170.600000000,15.086000000,4.200000000
2011,9/30/2011,1206.021000000,1206.021000000,518.436000000,518.436000000,687.585000000,0.000000000,170.739000000,111.111000000,19.300000000,40.328000000,516.846000000,185.256000000,185.256000000,,0.000000000,0.000000000,0.000000000,331.590000000,102.165000000,29.711000000,,72.454000000,,,,,229.425000000,77.200000000,58.524000000,18.676000000,152.225000000,-19.909000000,-19.909000000,0.000000000,172.134000000,0.000000000,172.134000000,0.000000000,2.811000000,169.323000000,217.201200000,67.787200000,-19.909000000,53.333000000,3.170000000,2.800000000,4.072500000,53.333000000,3.170000000,2.800000000,4.071000000,US GAAP,577.306000000,47.868700000,557.185000000,516.846000000,57.012700000,42.855500000,18.242800000,317373.947400000,0.000000000,0.000000000,305.500000000,20.121000000,5.900000000
2012,9/30/2012,1700.208000000,1700.208000000,734.891000000,734.891000000,965.317000000,0.000000000,246.676000000,174.509000000,27.900000000,44.267000000,718.641000000,211.906000000,211.906000000,,0.000000000,0.000000000,0.000000000,506.735000000,18.866000000,18.866000000,,,,,,,487.869000000,162.900000000,138.100000000,24.800000000,324.969000000,0.000000000,0.000000000,0.000000000,324.969000000,0.000000000,324.969000000,0.000000000,3.299000000,321.670000000,334.236700000,12.566700000,0.000000000,53.882000000,5.970000000,5.970000000,6.203100000,53.882000000,5.970000000,5.970000000,6.203100000,US GAAP,786.868000000,46.280700000,763.176000000,718.641000000,56.776400000,42.267800000,19.852600000,314853.333300000,0.000000000,0.000000000,508.800000000,23.692000000,7.900000000
2013,9/30/2013,1924.400000000,1924.400000000,856.538000000,856.538000000,1067.862000000,0.000000000,289.983000000,214.268000000,32.100000000,43.615000000,777.879000000,270.685000000,270.685000000,,0.000000000,0.000000000,0.000000000,507.194000000,58.705000000,26.433000000,,30.281000000,,,,1.991000000,448.489000000,145.700000000,148.314000000,-2.614000000,302.789000000,0.000000000,0.000000000,0.000000000,302.789000000,0.000000000,302.789000000,0.000000000,171.243000000,131.546000000,171.179400000,39.633400000,0.000000000,55.080000000,2.390000000,2.390000000,3.107800000,55.080000000,2.390000000,2.390000000,3.107800000,US GAAP,851.394000000,44.242000000,823.518000000,777.879000000,55.490600000,40.421900000,17.793700000,315475.409800000,34.850000000,1919.538000000,572.000000000,27.876000000,9.200000000
